Updated,Flow
2014-03-30 01:02 MDT,0
2014-03-30 00:37 MDT,0
2014-03-30 00:07 MDT,0
2014-03-29 23:37 MDT,0
2014-03-29 23:07 MDT,0
2014-03-29 22:37 MDT,0
2014-03-29 22:07 MDT,0
2014-03-29 21:37 MDT,0
2014-03-29 21:17 MDT,10
2014-03-29 21:07 MDT,20
2014-03-29 20:37 MDT,20
2014-03-29 20:06 MDT,10
2014-03-29 19:33 MDT,10
2014-03-29 19:05 MDT,20
2014-03-29 19:04 MDT,10
2014-03-29 18:36 MDT,20
2014-03-29 18:00 MDT,20
2014-03-29 17:36 MDT,20
2014-03-29 17:02 MDT,20
2014-03-29 17:02 MDT,30
2014-03-29 16:34 MDT,20
2014-03-29 16:01 MDT,45
2014-03-29 15:30 MDT,30
2014-03-29 15:00 MDT,30
2014-03-29 14:34 MDT,30
2014-03-29 14:00 MDT,30
2014-03-29 13:32 MDT,30
2014-03-29 13:02 MDT,30
2014-03-29 12:32 MDT,30
2014-03-29 12:14 MDT,20
2014-03-29 11:04 MDT,0
2014-03-29 10:32 MDT,0
2014-03-29 10:11 MDT,0
2014-03-29 09:33 MDT,0
2014-03-29 09:02 MDT,0
2014-03-29 08:31 MDT,0
2014-03-29 08:02 MDT,0
2014-03-29 07:31 MDT,0
2014-03-29 07:01 MDT,0
2014-03-29 06:31 MDT,0
2014-03-29 06:01 MDT,0
2014-03-29 05:31 MDT,0
2014-03-29 05:01 MDT,0
2014-03-29 04:31 MDT,0
2014-03-29 04:01 MDT,0
2014-03-29 03:31 MDT,0
2014-03-29 03:01 MDT,0
2014-03-29 02:30 MDT,0
2014-03-29 02:00 MDT,0
2014-03-29 01:31 MDT,0
2014-03-29 01:00 MDT,0
2014-03-29 00:38 MDT,0
2014-03-29 00:08 MDT,0
2014-03-28 23:37 MDT,0
2014-03-28 23:19 MDT,0
2014-03-28 22:44 MDT,0
2014-03-28 22:07 MDT,0
2014-03-28 21:37 MDT,0
2014-03-28 21:07 MDT,0
2014-03-28 20:38 MDT,30
2014-03-28 20:24 MDT,20
2014-03-28 20:06 MDT,20
2014-03-28 19:36 MDT,30
2014-03-28 19:17 MDT,45
2014-03-28 19:05 MDT,30
2014-03-28 18:57 MDT,30
2014-03-28 18:32 MDT,30
2014-03-28 18:06 MDT,30
2014-03-28 17:33 MDT,30
2014-03-28 17:13 MDT,30
2014-03-28 17:10 MDT,30
2014-03-28 16:45 MDT,20
2014-03-28 16:12 MDT,30
2014-03-28 16:09 MDT,30
2014-03-28 15:43 MDT,20
2014-03-28 15:09 MDT,20
2014-03-28 14:59 MDT,20
2014-03-28 14:38 MDT,20
2014-03-28 14:07 MDT,45
2014-03-28 13:35 MDT,30
2014-03-28 13:04 MDT,45
2014-03-28 12:37 MDT,20
2014-03-28 11:56 MDT,10
2014-03-28 11:18 MDT,0
2014-03-28 11:18 MDT,10
2014-03-28 11:02 MDT,10
2014-03-28 10:48 MDT,0
2014-03-28 10:38 MDT,0
2014-03-28 10:13 MDT,0
2014-03-28 09:02 MDT,0
2014-03-28 08:32 MDT,0
2014-03-28 08:01 MDT,0
2014-03-28 07:30 MDT,0
